15;kenza kellou-menouer;@prism.uvsq.fr
15;zoubida kedad;@prism.uvsq.fr
17;josiane mothe;@irit.fr
17;marion moulinou;@irit.fr
18;julien velcin;@univ-lyon2.fr
19;sabine loudcher;@univ-lyon2.fr
20;david pierrot;@univ-lyon2.fr
20;nouria harbi;@univ-lyon2.fr
21;mohamed chebel;@gmail.com
21;chiraz latiri;@gnet.tn
22;clément charnay;@unistra.fr
22;nicolas lachiche;@unistra.fr
22;agnès braud;@unistra.fr
24;david taniar;@monash.edu
25;thomas baudel;@fr.ibm.com
26;fatima-zahra aazi;@gmail.com
26;rafik abdesselam;@univ-lyon2.fr
27;violaine antoine;@univ-bpclermont.fr
27;nicolas labroche;@univ-tours.fr.
28;david werner;@u-bourgogne.fr
28;christophe cruz;@u-bourgogne.fr
28;aurélie bertaux;@iut-dijon.u-bourgogne.fr
29;mohammed ghesmoune;@lipn.univ-paris13.fr
29;mustapha lebbah;@lipn.univ-paris13.fr
29;hanane azzag;@lipn.univ-paris13.fr
30;thomas raimbault;@devinci.fr
30;david genest;@info.univ-angers.fr
31;patricia conde-céspedes;@univ-paris13.fr
31;jean-françois marcotorchino;@univ-paris13.fr
31;jean-françois marcotorchino;@thalesgroup.com
31;emmanuel viennet;@univ-paris13.fr
32;blaise hanczar;@parisdescartes.fr
33;hadjer belaicha;@gmail.com
34;david pierrot;@univ-lyon2.fr
34;nouria harbi;@univ-lyon2.fr
35;william correa beltran;@irisa.fr
35;hélène jaudoin;@irisa.fr
35;olivier pivert;@irisa.fr
38;natalia grabar;@univ-lille3.fr
39;fethi belghaouti;@telecom-sudparis.eu
39;fethi belghaouti;@isep.fr
39;amel bouzeghoub;@telecom-sudparis.eu
39;amel bouzeghoub;@isep.fr
39;zakia kazi-aoul;@telecom-sudparis.eu
39;zakia kazi-aoul;@isep.fr
39;raja chiky;@telecom-sudparis.eu
39;raja chiky;@isep.fr
40;kheira mechach;@gmail.com
40;mustapha kamel abdi;@univ-oran.dz
41;nazha selmaoui-folcher;@univ-nc.nc
41;frédéric flouvat;@univ-nc.nc
41;chengcheng mu;@univ-nc.nc
41;jérémy sanhes;@univ-nc.nc
41;jean-françois boulicaut;@univ-nc.nc
41;jean-françois boulicaut;@insa-lyon.fr
42;raja chiky;@isep.fr
42;elisabeth métais;@cnam.fr
44;olivier parisot;@lippmann.lu
45;fadhela kerdjoudj;@univ-mlv.fr
45;olivier curé;@univ-mlv.fr
46;julio cesar dos reis;@tudor.lu
46;cédric pruski;@tudor.lu
47;anne boyer;@loria.fr
48;christine largeron;@univ-st-etienne.fr
48;mihaela juganaru-mathieu;@emse.fr
49;stavrakas yannis;@imis.athena-innovation.gr
51;meryem talha;@gmail.com
51;siham boulaknadel;@ircam.ma
53;oualid benyahia;@univ-st-etienne.fr
53;christine largeron;@univ-st-etienne.fr
55;yuichiro kase;@stu.hosei.ac.jp
55;takao miura;@hosei.ac.jp
56;mustapha lebbah;@lipn.univ-paris13.fr
58;aghiles salah;@parisdescartes.fr
58;nicoleta rogovschi;@parisdescartes.fr
58;françois role;@parisdescartes.fr
58;mohamed nadif;@parisdescartes.fr
60;bruno crémilleux;@unicaen.fr
60;bruno crémilleux;@univ-tours.fr
