15;@prism.uvsq.fr
16;17;@irit.fr
18;@univ-lyon2.fr , @amisw.com
19;@univ-lyon2.fr
20;@univ-lyon2.fr
21;@gnet.tn , @gmail.com
22;@unistra.fr
23;@targit.com
24;@monash.edu
25;@fr.ibm.com
26;@gmail.com , @univ-lyon2.fr
27;@univ-tours.fr. , @univ-bpclermont.fr
28;@iut-dijon.u-bourgogne.fr , @u-bourgogne.fr
29;@lipn.univ-paris13.fr
30;@devinci.fr , @info.univ-angers.fr
31;@univ-paris13.fr , @thalesgroup.com
32;@parisdescartes.fr
33;@gmail.com
34;@univ-lyon2.fr
35;@irisa.fr
36;@compilatio.net
37;@compilatio.net
38;@boujut.com , @univ-lille3.fr
39;@telecom-sudparis.eu , @isep.fr
40;@univ-oran.dz , @gmail.com
41;@insa-lyon.fr , @univ-nc.nc
42;@cnam.fr , @isep.fr
43;44;@lippmann.lu
45;@univ-mlv.fr
46;@tudor.lu , @lri.fr
47;@loria.fr
48;@emse.fr , @univ-st-etienne.fr
49;@trek.gr , @ics.forth.gr , @imis.athena-innovation.gr
50;51;@ircam.ma , @gmail.com , @fsr.ac.ma
52;@cs.aau.dk
53;@univ-st-etienne.fr
54;@compilatio.net
55;@stu.hosei.ac.jp , @hosei.ac.jp
56;@lipn.univ-paris13.fr
57;58;@parisdescartes.fr
59;@lippmann.lu
60;@unicaen.fr , @univ-tours.fr
61;62;@gmail.com , @umoncton.ca
63;@insat.rnu.tn , @fst.rnu.tn
64;65;@ihec.rnu.tn , @liris.cnrs.fr , @gmail.com , @ensma.fr , @isg.rnu.tn
66;@ardans.fr
67;@teledetection.fr , @lirmm.fr
68;@cs.umb.edu
69;@univ-lyon2.fr , @parisdescartes.fr
70;@lipn.univ-paris13.fr , @agroparistech.fr
71;@univ-angers.fr
72;@lipn.univ-paris13.fr
73;@labri.fr
74;@uha.fr
75;@iraiser.eu
76;@usthb.dz , @gmail.com , @univ-lyon2.fr
77;@ihec.rnu.tn , @paris4.sorbonne.fr , @gmail.com
78;@univ-brest.fr
79;@insa-lyon.fr
80;@inf.shizuoka.ac.jp , @sd.tmu.ac.jp
